Name,Objective,Precondition,Priority,Component,Step,Expected Result
"CP-01 Login con usuario demo","Validar acceso de usuario de pruebas","Frontend en 3006 y Backend en 9443","High","Auth","Abrir http://localhost:3006/login","Se muestra la pantalla de inicio de sesión"
,,,,,"Ingresar correo demo@speechnotes.app y password demo123","Los campos se llenan correctamente"
,,,,,"Presionar el botón de inicio de sesión","El usuario es redirigido a /dashboard exitosamente"
"CP-02 Prueba de micrófono","Asegurar que el sistema detecta entrada de audio","Micrófono conectado","High","Audio","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Navegar a la opción de Prueba de Micrófono","Se muestra la interfaz de prueba de audio"
,,,,,"Otorgar permisos de micrófono en el prompt del navegador","Se habilita el acceso al dispositivo de entrada"
,,,,,"Hablar al micrófono de forma continua por 5 a 10 segundos","El indicador visual responde y muestra actividad"
"CP-03 Iniciar y detener grabación","Verificar la captura y envío de audio","Micrófono configurado","Critical","Realtime","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"En el Dashboard presionar el botón principal de Iniciar grabación","La interfaz cambia a estado grabando"
,,,,,"Hablar al micrófono durante al menos 10 segundos","El audio es capturado correctamente"
,,,,,"Presionar el botón de Detener y confirmar la detención","El sistema muestra estado de procesamiento"
,,,,,"Esperar a que termine el procesamiento","Se genera una nueva nota en la lista de transcripciones"
"CP-04 Transcripción en vivo","Validar recepción de texto mediante WebSockets","Servidor ASR activo","Critical","Realtime","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"En el Dashboard iniciar una grabación de audio","El micrófono comienza a capturar datos"
,,,,,"Hablar oraciones claras de forma constante durante 30 segundos","Aparecen segmentos de texto en vivo en la pantalla"
,,,,,"Detener la grabación","El texto final se consolida sin duplicarse incorrectamente"
"CP-05 Upload de audio para transcribir","Verificar procesamiento asíncrono de audios","Archivo mp3 local disponible","High","Upload","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Navegar a la herramienta de Subir Audio","Se despliega la interfaz de carga de archivos"
,,,,,"Seleccionar un archivo .mp3 válido desde el equipo","El archivo queda seleccionado en la interfaz"
,,,,,"Presionar el botón para iniciar la transcripción del archivo","El sistema indica que el archivo está siendo procesado"
,,,,,"Revisar la lista de transcripciones una vez concluido el proceso","La nota generada aparece en el listado y se puede leer"
"CP-06 Consultar transcripciones guardadas","Confirmar que se cargan los documentos previos","Tener notas guardadas","High","Transcripciones","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Verificar la carga de la lista lateral o panel de documentos","Aparecen las transcripciones previas con su respectivo título y fecha"
,,,,,"Hacer clic en una transcripción de la lista","El texto de la transcripción se muestra íntegro en el visor principal"
,,,,,"Seleccionar rápidamente una nota diferente","El visor se actualiza al instante sin cruzarse los contenidos"
"CP-07 Editar y guardar una transcripción","Validar persistencia de cambios","Tener una transcripción existente","Medium","Editor","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Seleccionar una transcripción de la lista para abrirla en el visor","El documento se carga correctamente"
,,,,,"Habilitar la edición e ingresar una nueva frase al final del texto","El editor acepta la nueva entrada de texto"
,,,,,"Hacer clic en el botón de Guardar","El sistema no muestra errores"
,,,,,"Recargar la página web por completo y volver a abrir la misma nota","La línea ingresada persiste intacta y el formato markdown se mantiene"
"CP-08 Buscar dentro de transcripciones","Comprobar buscador global","Documentos con texto existente","Medium","Busqueda","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Ubicar la barra de búsqueda e ingresar una palabra clave existente","El buscador empieza a filtrar resultados"
,,,,,"Seleccionar un resultado sugerido o listado","El visor carga la nota correspondiente resaltando la coincidencia"
"CP-09 Formateo IA de una transcripción","Verificar embellecimiento de texto vía IA","Credenciales IA válidas","Medium","IA","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Seleccionar una nota para cargarla en el visor","La nota seleccionada está a la vista"
,,,,,"Hacer clic en la opción de Formateo IA","Se inicia un job al backend visualizando estado de carga"
,,,,,"Esperar a que finalice el procesamiento","El contenido del editor es actualizado por una versión mejor redactada"
"CP-10 Chat contextual sobre una nota","Asegurar uso de RAG","Nota con texto abundante","Medium","IA","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Seleccionar una nota de la lista","El texto se carga"
,,,,,"Abrir el panel o modal de Chat Contextual","Aparece la interfaz de chat"
,,,,,"Escribir una pregunta sobre la nota abierta y enviarla","El sistema procesa la solicitud RAG"
,,,,,"Leer la respuesta retornada por el chat","El asistente responde basándose puramente en la nota"
"CP-11 Traducción de transcripción","Validar flujo de traducción","Nota original disponible","High","Translation","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Seleccionar una transcripción y buscar la opción de Traducir","Se despliegan opciones de idioma"
,,,,,"Seleccionar el idioma destino y ejecutar","Se envía la petición de traducción"
,,,,,"Revisar el resultado obtenido","El texto original es traducido correctamente"
"CP-12 Modificar configuraciones VAD","Verificar persistencia de configuraciones","No aplica","High","Settings","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Navegar a la vista de Ajustes o Settings","Aparecen los sliders de umbral VAD"
,,,,,"Modificar el valor de un parámetro VAD y guardar","El sistema emite notificación de éxito"
,,,,,"Recargar la página y volver a Ajustes","El valor numérico modificado sigue intacto"
"CP-13 Eliminar transcripción","Comprobar flujo destructivo CRUD","Tener notas prescindibles","High","Transcripciones","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Seleccionar una transcripción específica de la lista lateral","La nota se carga en el visor"
,,,,,"Hacer clic en el icono de Eliminar","Se despliega un modal de confirmación"
,,,,,"Aceptar y confirmar la eliminación en el modal","La nota se borra del sistema"
,,,,,"Revisar la lista lateral tras la eliminación","La nota ya no existe ni se puede acceder a ella"
"CP-14 Login con credenciales incorrectas","Validar manejo seguro de errores","Base de datos activa","High","Auth","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar un correo electrónico inexistente o password erróneo","Se digitan los datos en los campos"
,,,,,"Hacer clic en el botón de inicio de sesión","Aparece un mensaje de error y la aplicación no crashea"
"CP-15 Denegación de permisos de micrófono","Validar feedback al bloquear hardware","No aplica","High","Audio","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Hacer clic en Iniciar grabación o en Prueba de micrófono","El navegador despliega el prompt nativo pidiendo acceso al micrófono"
,,,,,"Seleccionar Bloquear en el prompt del navegador","El sistema detiene el intento y lanza alerta advirtiendo que se requiere el permiso"
"CP-16 Upload de formato inválido","Asegurar filtrado de archivos local","Archivo txt disponible","Medium","Upload","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Navegar a la vista de Subir Audio","Se muestra el selector de archivos"
,,,,,"Intentar seleccionar un archivo .txt o .pdf","La UI detiene la acción mostrando error antes de enviarlo al backend"
"CP-17 Bloqueo de rutas administrativas","Proteger enrutado no autorizado","Rol normal","Critical","Admin","Abrir http://localhost:3006/login","Carga la pantalla de inicio de sesión"
,,,,,"Ingresar credenciales válidas de una cuenta estándar y presionar inicio de sesión","Redirección exitosa al Dashboard"
,,,,,"Modificar manualmente la URL en el navegador hacia una ruta de admin e intentar acceder","El usuario recibe un error 403 o es redirigido al inicio"
